"state_fips","state","cases","deaths","pop_total","pop_white","edu_total","edu_hs","edu_ged","edu_bachelors","edu_masters","edu_profschool","edu_phd","income_per_capita","pop_wo_healthcare","percent_minority","top_half_minority","percent_bachelors","top_half_edu","percent_healthcare","top_half_healthcare","cases_per_100000","deaths_per_100000"
1,"Alabama",817054,15320,4876250,3320247,3320877,841716,181123,529178,230528,50270,35796,27928,457826,31.9098282491669,1,25.4683326121383,0,90.6111048449116,0,16755.7856959754,314.175852345552
2,"Alaska",131547,674,737068,476015,480586,108797,25785,88058,37958,10373,5630,36787,97156,35.4177633542631,1,29.5512145588927,0,86.8185839027064,0,17847.3356596678,91.4433946393006
4,"Arizona",1142122,20776,7050299,5444453,4732532,940168,188961,869452,378467,86371,60236,30694,723547,22.776991443909,1,29.4668055070732,0,89.7373572383242,0,16199.6250088117,294.682537577484
5,"Arkansas",508937,8237,2999370,2301044,2011639,559816,124843,297250,119000,27707,19279,26577,250631,23.2824226420882,1,23.0277897773905,0,91.6438785478284,0,16968.1299739612,274.6243377776
6,"California",4860797,71369,39283497,23453222,26471543,4813250,610212,5603047,2294771,645797,437111,36955,2915070,40.2975198465656,1,33.9259634393054,1,92.5794029996871,1,12373.6361862082,181.676799293098
8,"Colorado",721073,8174,5610349,4712574,3825579,667781,149671,981017,428252,90525,65340,38226,420782,16.0021239320406,0,40.9123429420749,1,92.499896174017,1,12852.5515970575,145.695036084208
9,"Connecticut",399773,8721,3575074,2714031,2483095,588032,78796,541380,315473,76404,42208,44496,187937,24.0846203463201,1,39.2842400310902,1,94.7431297925581,1,11182.2300741187,243.939006577206
10,"Delaware",141323,2045,957248,658237,669320,187323,22126,124632,64883,12849,11774,35450,53946,31.2365238684228,1,31.9933664017212,1,94.3644698134653,1,14763.4677742863,213.633248646119
11,"District of Columbia",63474,1186,692683,285857,494116,70065,13120,122380,104526,41447,20906,56147,25179,58.7319163311356,1,58.540707040452,1,96.3650039051052,1,9163.49903202475,171.218291772716
12,"Florida",3633097,58608,20901636,15702256,14965745,3647514,628723,2827938,1138820,328745,176198,31619,2637268,24.8754690781143,1,29.8795749894175,0,87.3824804910008,0,17381.8786242378,280.399103687386
13,"Georgia",1587865,27356,10403847,6098889,6888279,1582994,326073,1324801,590536,149171,93108,31067,1351097,41.3785208490667,1,31.3230053544579,1,87.0134864536166,0,15262.2871136033,262.941198577795
15,"Hawaii",80281,877,1422094,354847,993005,247978,23670,215777,74614,22900,14175,35567,52746,75.0475706950455,1,32.9772760459414,1,96.2909624820863,1,5645.26676858211,61.6696224018947
16,"Idaho",282865,3378,1717750,1545409,1115556,246382,58799,207179,69784,16921,13653,27970,179079,10.0329500800466,0,27.5680467856387,0,89.5747926066075,0,16467.180905254,196.652597875127
17,"Illinois",1683225,28382,12770631,9134903,8686299,1941914,312610,1831438,862440,199455,116692,36038,859612,28.469446811203,1,34.6525603136618,1,93.2688369118174,1,13180.4372078404,222.244304138143
18,"Indiana",1009338,16449,6665703,5553391,4430493,1249644,230440,749078,311229,64915,46934,29777,551909,16.6870921191658,0,26.4565591233301,0,91.7201681503061,0,15142.2588135115,246.77067070045
